127.0.0.1 - - [01/Nov/2018:13:02:56 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:11 +0530] "GET /middleware_Collab/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:26 +0530] "GET /Frontend_Collab/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:28 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:28 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:28 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:29 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:29 +0530] "GET /Frontend_Collab/controllers/jobcontroller.js HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:29 +0530] "GET /Frontend_Collab/services/jobservice.js HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:40 +0530] "GET /Frontend_Collab/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:42 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:43 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:43 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:43 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:43 +0530] "GET /Frontend_Collab/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:03:43 +0530] "GET /Frontend_Collab/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:04:41 +0530] "GET /Frontend_Collab/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:04:42 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:04:43 +0530] "GET /Frontend_Collab/controllers/jobcontroller.js HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:04:43 +0530] "GET /Frontend_Collab/services/jobservice.js HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:04:43 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:04:43 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:04:43 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:04:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:05:07 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:05:07 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:05:10 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:05:11 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:05:20 +0530] "GET /Frontend_Collab/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:05:20 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:05:21 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:05:23 +0530] "GET /Frontend_Collab/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:05:23 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:07:39 +0530] "GET /Frontend_Collab/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:07:39 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:07:39 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:07:39 +0530] "GET /Frontend_Collab/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:07:39 +0530] "GET /Frontend_Collab/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:07:40 +0530] "GET /Frontend_Collab/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:07:48 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:08:06 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:08:09 +0530] "GET /Frontend_Collab/views/jobs.html HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:08:10 +0530] "GET /middleware_Collab/getalljobs HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:08:16 +0530] "PUT /middleware_Collab/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:08:32 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:08:34 +0530] "GET /Frontend_Collab/views/jobform.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:09:31 +0530] "POST /middleware_Collab/addjob HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:10:05 +0530] "PUT /middleware_Collab/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:10:24 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:10:55 +0530] "PUT /middleware_Collab/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:11:41 +0530] "GET /Frontend_Collab/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:11:41 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:11:43 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:11:43 +0530] "GET /Frontend_Collab/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:11:43 +0530] "GET /Frontend_Collab/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:11:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:11:49 +0530] "GET /Frontend_Collab/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:11:55 +0530] "GET /Frontend_Collab/views/login.html HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:12:11 +0530] "PUT /middleware_Collab/login HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:12:18 +0530] "GET /Frontend_Collab/views/jobs.html HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:12:18 +0530] "GET /middleware_Collab/getalljobs HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [01/Nov/2018:13:12:51 +0530] "PUT /middleware_Collab/logout HTTP/1.1" 200 -
