0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:34:42 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:35:27 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:35:28 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:35:28 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:35:28 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:35:28 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:35:28 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:38:09 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:38:10 +0530] "GET /Frontend_Collab/logo.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:38:11 +0530] "GET /Frontend_Collab/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:38:11 +0530] "GET /Frontend_Collab/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:38:11 +0530] "GET /Frontend_Collab/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:38:11 +0530] "GET /Frontend_Collab/views/registrationform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:11:39:34 +0530] "GET /Frontend_Collab/index.html HTTP/1.1" 200 2263
